trans_id,cust_id,prod_id,trans_amt,time_of_transaction,status
T001,1,P01,15.00,2026-01-15 10:30:00,completed
T002,2,P02,200.00,2026-02-20 14:15:00,completed
T003,3,P01,75.50,2026-03-10 09:00:00,pending
T001,1,P03,300.00,2026-04-05 16:45:00,completed
T005,9,P02,50.00,2026-05-01 11:00:00,COMPLETED
T006,2,,450.00,2026-06-10 08:30:00,refunded
T007,3,P01,-99.00,2026-06-15 13:00:00,pending
T008,1,P02,0.00,2026-06-20 10:00:00,completed
T009,2,P03,99999.00,2027-01-01 00:00:00,completed
T010,3,P01,120.00,2025-10-01 09:00:00,completed
